Order,Family,Genus,Species,strain,ID,strain_ID,File_name
Lactobacillales,Lactobacillaceae,Levilactobacillus ,brevis,Dm-2019-10,74,LEb10,Levilactobacillus_brevis_PB2019-10.txt
Lactobacillales,Lactobacillaceae,Lactiplantibacillus,plantarum,Dm-2019-33,75,LApl33,Lactiplantibacillus_plantarum_PB2019-33.txt
Lactobacillales,Lactobacillaceae,Levilactobacillus ,brevis,Dm-2019-67,76,LEb67,Levilactobacillus_brevis_PB2019-67.txt
Lactobacillales,Lactobacillaceae,Lactiplantibacillus,plantarum,Dm-2019-3,77,LApl3,Lactiplantibacillus_plantarum_PB2019-3.txt
Lactobacillales,Lactobacillaceae,Leuconostoc,suionicum,Dm-2019-54,78,LEs54,Leuconostoc_suionicum_PB2019-54.txt
Lactobacillales,Lactobacillaceae,Leuconostoc,mesenteroides,Dm-2019-12,79,LEm12,Leuconostoc_mesenteroides_PB2019-12.txt
Lactobacillales,Lactobacillaceae,Weissella,minor,Dm-2019-34,80,Wm34,Weissella_minor_PB2019-34.txt
Lactobacillales,Lactobacillaceae,Leuconostoc,pseudomesenteroides,Dm-9,81,LEp9,Leuconostoc_pseudomesenteroides_Dm9.txt
Enterobacterales,Morganellaceae,Providencia,rettgerii,Dmel1,82,PRrDmel1,Providencia_rettgeri_Dmel1.txt
Enterobacterales,Morganellaceae,Providencia,burhodogranariea,DSM19968,83,PRbDSM,Providencia_burhodogranariea_DSM19968.txt
Enterobacterales,Morganellaceae,Providencia,alcalifaciens,Dmel2,84,PRaDmel2,Providencia_alcalifaciens_Dmel2.txt
Enterobacterales,Morganellaceae,Providencia,sneebia,DSM19967,85,PRsDSM,Providencia_sneebia_DSM19967.txt
Lactobacillales,Lactobacillaceae,Lactiplantibacillus,plantarum,DF,86,LAplDF,Lactiplantibacillus_plantarum_DF.txt
Lactobacillales,Lactobacillaceae,Weissella,cibaria,DmW103,87,Wc103,Weissella_cibaria_DmW103.txt
Lactobacillales,Lactobacillaceae,Lacticaseibacillus,paracasei,DmW181,88,LApa181,Lacticaseibacillus_paracasei_DmW181.txt
Lactobacillales,Lactobacillaceae,Leuconostoc,citreum,DmW111,89,LEc111,Leuconostoc_citreum_DmW111.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,orientalis,DmW045,90,Aor45,Acetobacter_orientalis_DmW045.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,thailandicus,DmW043,91,Ath43,Acetobacter_thailandicus_DmW043.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,indonesiensis,DmW046,92,Ai46,Acetobacter_indonesiensis_DmW046.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,orientalis,DmW048,93,Aor48,Acetobacter_orientalis_DmW048.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,tropicalis,DmW042,94,Atr42,Acetobacter_tropicalis_DmW042.txt
Lactobacillales,Streptococcaceae,Lactococcus,lactis,Bpl1,95,LlBpl1,Lactococcus_lactis_Bpl1.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,cibinongensis,DmW047,96,Ac47,Acetobacter_cibinongensis_DmW_047.txt
